BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	268	A	INLAND ONLY  Two power-driven vessels are meeting in the situation as shown and will pass within 1/2 mile of each other.  Two short blasts from either vessel means __________.	"""I intend to leave you on my starboard side."""	"""I intend to leave you on my port side."""	"""I am altering my course to port."""	"""I am altering my course to starboard."""	DIAGRAM_37
1	269	D	"INLAND ONLY  Two power-driven vessels are meeting in a narrow channel on the Great Lakes as shown.  Vessel ""A"" is downbound with a following current.  Vessel ""A"" shall __________."	propose the manner of passage	have the right of way	initiate the maneuvering signals	All of the above	DIAGRAM_37
1	270	B	INLAND ONLY  Two power-driven vessels are meeting in a narrow channel as shown.  Which statement is TRUE?	Whistle signals must be exchanged in all situations when passing within one half mile of each other.	If agreement is reached by radiotelephone whistle signals are optional.	If agreement is reached by radiotelephone whistle signals must still be exchanged.	None of the above	DIAGRAM_37
1	272	B	"BOTH INTERNATIONAL & INLAND  Two vessels are meeting as shown in a narrow channel.  Vessel ""A"" is a sailing vessel.  Vessel ""B"" is a power-driven vessel which can safely navigate only within the channel.  Vessel ""B"" sounds the danger signal.  Vessel ""A"" shall __________."	maintain course and speed	"not impede the passage of vessel ""B"""	sound one prolonged followed by two short blasts	have the right of way	DIAGRAM_37
1	273	D	"INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing, you should __________."	wait until the vessel ahead crosses your bow	stop until the red lights turn green	proceed leaving all the lights on your starboard side	pass between the two sets of vertical red lights	DIAGRAM_81
1	274	C	"INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing, you should __________."	wait until the vessel ahead crosses your bow	stop until the red lights turn green	pass between the two sets of vertical red lights	proceed leaving all the lights on your starboard side	DIAGRAM_81
1	275	B	"INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing, you should __________."	wait until the vessel ahead crosses your bow	pass between the two sets of vertical red lights	stop until the red lights turn green	proceed leaving all the lights on your starboard side	DIAGRAM_81
1	276	A	"INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing, you should __________."	pass between the two sets of vertical red lights	wait until the vessel ahead crosses your bow	stop until the red lights turn green	proceed leaving all the lights on your starboard side	DIAGRAM_81
1	277	A	INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing. The lights displayed should be __________.	visible at night and during periods of restricted visibility	visible for at least one mile	more than 50 meters apart	flashing at intervals of 120 flashes per minute	DIAGRAM_81
1	278	C	INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing. The lights displayed should be __________.	visible for at least one mile	more than 50 meters apart	visible at night and during periods of restricted visibility	flashing at intervals of 120 flashes per minute	DIAGRAM_81
1	279	B	INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing. The lights displayed should be __________.	visible for at least one mile	visible at night and during periods of restricted visibility	more than 50 meters apart	flashing at intervals of 120 flashes per minute	DIAGRAM_81
1	280	D	INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing. The lights displayed should be __________.	visible for at least one mile	flashing at intervals of 120 flashes per minute	more than 50 meters apart	visible at night and during periods of restricted visibility	DIAGRAM_81
1	282	B	INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing. The lights displayed are from a __________.	vessel not under command	dredge pipeline	vessel aground	vessel not under command	DIAGRAM_81
1	283	C	INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing. The lights displayed are from a __________.	seaplane	minesweeper	dredge pipeline	vessel not under command	DIAGRAM_81
1	284	D	INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing. The lights displayed are from a __________.	vessel aground	mine clearance vessel	vessel not under command	dredge pipeline	DIAGRAM_81
1	287	D	BOTH INTERNATIONAL & INLAND  The lead vessel shown is a __________.	dredge	sailing vessel	power-driven vessel pushing ahead	None of the above	DIAGRAM_24
1	288	A	BOTH INTERNATIONAL & INLAND  The tow shown is less than 200 meters in length and severely restricted in her ability to deviate from her course.  Which dayshape(s) would be displayed by day from the vessel(s)?	ball-diamond-ball on the towing vessel	diamond on the towing vessel	diamond on the last barge	All of the above	DIAGRAM_24
1	289	A	BOTH INTERNATIONAL & INLAND  The tow shown is less than 200 meters in length and severely restricted in her ability to deviate from her course.  Which dayshape(s) would be displayed by day from the vessel?	ball-diamond-ball on the towing vessel	diamond on the towing vessel	diamond on the last barge	None of the above	DIAGRAM_24
1	290	D	BOTH INTERNATIONAL & INLAND  The tow shown is greater than 200 meters in length and severely restricted in her ability to deviate from her course.  Which dayshape(s) would be displayed by day from the vessel(s)?	ball-diamond-ball on the towing vessel	diamond on the towing vessel	diamond on the barges	All of the above	DIAGRAM_24
1	292	D	BOTH INTERNATIONAL & INLAND  The tug shown is greater than 50 meters and severely restricted in her ability to deviate from her course.  Which lights would be displayed from the towing vessel?	"Two white masthead lights, red-white-red all round lights, sidelights, stern light and a towing light"	"Three white masthead lights, red-white-red all round lights, sidelights and two towing lights"	"Three white masthead lights, two all round red lights, sidelights, stern light and a towing light"	None of the above	DIAGRAM_24
1	293	A	BOTH INTERNATIONAL & INLAND  The display of lights shown could represent a __________.	tug and a barge being towed astern	sailing vessel	a vessel not under command	a submarine on the surface	DIAGRAM_48
1	294	D	BOTH INTERNATIONAL & INLAND  The display of lights shown could represent a __________.	a submarine on the surface	sailing vessel	a vessel not under command	None of the above	DIAGRAM_48
1	295	B	BOTH INTERNATIONAL & INLAND  The display of lights shown could represent a __________.	submarine on the surface	tug and a barge being towed astern	vessel restricted in her ability to maneuver	vessel not under command	DIAGRAM_48
1	296	C	BOTH INTERNATIONAL & INLAND  The display of lights shown could represent a __________.	submarine on the surface	vessel constrained by her draft	tug and a barge being towed astern	vessel not under command	DIAGRAM_48
1	297	A	BOTH INTERNATIONAL & INLAND  The display of lights shown could represent a __________.	tug and a barge being towed astern	vessel constrained by her draft	vessel in the nondisplacement mode	vessel not under command	DIAGRAM_48
1	298	D	BOTH INTERNATIONAL & INLAND  A vessel displaying the lights shown is a(n) __________.	vessel constrained by her draft	law enforcement vessel	vessel not under command	vessel towing astern	DIAGRAM_79
1	299	A	BOTH INTERNATIONAL & INLAND  A vessel displaying the lights shown is a(n) __________.	vessel towing astern	vessel restricted in her ability to maneuver	vessel not under command	vessel aground	DIAGRAM_79
1	300	B	BOTH INTERNATIONAL & INLAND  A vessel displaying the lights shown is a(n) __________.	sailing vessel	vessel towing astern	vessel engaged in fishing	vessel dredging	DIAGRAM_79
1	301	D	BOTH INTERNATIONAL & INLAND  A vessel displaying the lights shown is a vessel __________.	engaged in submarine operations	dredging	engaged in fishing	towing astern	DIAGRAM_79
1	302	D	BOTH INTERNATIONAL & INLAND  A vessel displaying the lights shown is a vessel __________.	engaged in fishing	dredging	engaged in launching or recovery of aircraft	towing astern	DIAGRAM_79
1	311	D	INLAND ONLY  Identify the operation indicated by the lights exhibited as shown.	Aircraft carrier engaged in the launching and recovery of aircraft	A submarine engaged in underway replenishment	A vessel aground assisted by tugs	None of the above	DIAGRAM_85
1	312	C	INLAND ONLY  You see the lights shown while proceeding in a channel.  What should you do?	Proceed at full see speed through the two sets of double red lights.	Stop the vessel and await the red lights to change to green.	Slow down and pass between the two sets of double red lights.	None of the above	DIAGRAM_85
1	313	A	INLAND ONLY  You see the lights shown while proceeding in a channel.  Where should you pass?	A	B	C	D	DIAGRAM_85
1	314	C	INLAND ONLY  Identify the operation indicated by the lights shown.	An aircraft carrier engaged in the launching and recovery of aircraft	A submarine engaged in underway replenishment at sea	A dredge engaged in dredging operations	A vessel aground assisted by tugs	DIAGRAM_85
1	315	A	BOTH INTERNATIONAL & INLAND  At night a vessel displaying the lights as shown is __________.	fishing	sailing	a pilot boat	anchored	DIAGRAM_82
1	316	C	BOTH INTERNATIONAL & INLAND  At night a vessel displaying the lights as shown is __________.	a pilot boat	sailing	fishing	anchored	DIAGRAM_82
1	317	D	BOTH INTERNATIONAL & INLAND  At night a vessel displaying the lights as shown is __________.	a pilot boat	sailing	anchored	fishing	DIAGRAM_82
1	318	A	BOTH INTERNATIONAL & INLAND  Which dayshape(s) would be displayed by the vessel engaged in the operation indicated by the lights shown.	two cones with apexes together	"a ball, a diamond and another ball"	a cylinder	a diamond	DIAGRAM_82
1	319	B	BOTH INTERNATIONAL & INLAND  Which dayshape(s) would be displayed by the vessel engaged in the operation indicated by the lights shown.	a cylinder	two cones with apexes together	"a ball, a diamond and another ball"	a diamond	DIAGRAM_82
1	320	C	BOTH INTERNATIONAL & INLAND  Which dayshape(s) would be displayed by the vessel engaged in the operation indicated by the lights shown.	a cylinder	"a ball, a diamond and another ball"	two cones with apexes together	a diamond	DIAGRAM_82
1	321	D	BOTH INTERNATIONAL & INLAND  Which dayshape(s) would be displayed by the vessel engaged in the operation indicated by the lights shown.	a cylinder	a diamond	"a ball, a diamond and another ball"	two cones with apexes together	DIAGRAM_82
1	322	A	BOTH INTERNATIONAL & INLAND  The vessel whose lights are shown is navigating in a narrow channel.  Which statement about this vessel is TRUE?	It shall not impede the passage of any other vessel navigating within the channel or fairway.	It is the stand-on vessel	It may anchor in the channel or fairway	It shows two balls	DIAGRAM_82
1	323	A	BOTH INTERNATIONAL & INLAND  Which diagram shows the arc of visibility of a red sidelight?	A	B	C	D	DIAGRAM_23
1	324	B	BOTH INTERNATIONAL & INLAND  Which diagram shows the arc of visibility of a green sidelight?	A	B	C	D	DIAGRAM_23
1	325	C	"BOTH INTERNATIONAL & INLAND  Diagram ""B"" shows the arc of visibility of a __________."	white masthead light	red sidelight	green sidelight	stern light	DIAGRAM_23
1	326	B	"BOTH INTERNATIONAL & INLAND  Diagram ""A"" shows the arc of visibility of a __________."	white masthead light	red sidelight	green sidelight	stern light	DIAGRAM_23
1	327	C	"BOTH INTERNATIONAL & INLAND  Diagram ""A"" shows the arc of visibility of a __________."	white masthead light	green sidelight	red sidelight	stern light	DIAGRAM_23
1	328	D	"BOTH INTERNATIONAL & INLAND  Diagram ""D"" shows the arc of visibility of a __________."	white masthead light	green sidelight	stern light	None of the above	DIAGRAM_23
1	329	D	"BOTH INTERNATIONAL & INLAND  Diagram ""C"" shows the arc of visibility of a __________."	white masthead light	red sidelight	stern light	None of the above	DIAGRAM_23
1	330	B	"BOTH INTERNATIONAL & INLAND  Diagram ""B"" shows the arc of visibility of a __________."	white masthead light	green sidelight	red sidelight	stern light	DIAGRAM_23
1	331	D	"BOTH INTERNATIONAL & INLAND  Diagram ""A"" shows the arc of visibility of a __________."	yellow flashing light	green sidelight	masthead light	None of the above	DIAGRAM_23
1	332	A	"BOTH INTERNATIONAL & INLAND  Diagram ""A"" shows the arc of visibility of a __________."	red sidelight	green sidelight	masthead light	stern light	DIAGRAM_23
1	333	C	"BOTH INTERNATIONAL & INLAND  Diagram ""B"" shows the arc of visibility of a __________."	yellow flashing light	red sidelight	green sidelight	stern light	DIAGRAM_23
1	334	B	"BOTH INTERNATIONAL & INLAND  Diagram ""A"" shows the arc of visibility of a __________."	yellow flashing light	red sidelight	green sidelight	stern light	DIAGRAM_23
1	335	D	"BOTH INTERNATIONAL & INLAND  Diagram ""C"" shows the arc of visibility of a __________."	yellow flashing light	red sidelight	green sidelight	None of the above	DIAGRAM_23
1	336	C	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" should __________."	maintain course and speed without sounding any signals	alter course to the right or slowdown	sound one short blast and maintain course and speed	sound the danger signal and slow to moderate speed	DIAGRAM_42
1	337	A	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" should sound __________."	one short blast	two short blasts	two prolonged blasts followed by two short blasts	three short blasts	DIAGRAM_42
1	338	B	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" should sound __________."	"one prolonged, one short, one prolonged and one short blasts"	one short blast	two prolonged blasts followed by one short blast	two short blasts	DIAGRAM_42
1	339	C	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" should sound __________."	"one prolonged, one short, one prolonged and one short blasts"	two short blasts	one short blast	None of the above	DIAGRAM_42
1	340	D	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" should sound __________."	"one prolonged, one short, one prolonged and one short blasts"	one prolonged blast	two short blasts	None of the above	DIAGRAM_42
1	341	A	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  This signal means __________."	"""I intend to leave you on my port side"""	"""I intend to overtake you on your port side"""	"""I am altering my course to starboard"""	None of the above	DIAGRAM_42
1	342	D	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  This signal means __________."	"""I intend to leave you on my starboard side"""	"""I am operating astern propulsion port side"""	"""I am altering my course to starboard"""	None of the above	DIAGRAM_42
1	343	B	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  This signal means __________."	"""I intend to leave you on my starboard side"""	"""I intend to leave you on my port side"""	"""I am altering my course to starboard"""	None of the above	DIAGRAM_42
1	345	C	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  This signal means __________."	"""I intend to overtake you on my starboard side"""	"""I am operating astern propulsion"""	"""I intend to leave you on my port side"""	None of the above	DIAGRAM_42
1	346	D	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  This signal means __________."	"""I intend to overtake you on my port side"""	"""I am operating astern propulsion"""	"""I intend to leave you on my starboard side"""	None of the above	DIAGRAM_42
1	347	D	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  Vessel ""B"" should __________."	sound the danger signal and slow to moderate speed	alter course to the right or slowdown	sound one short blast and maintain course and speed	None of the above	DIAGRAM_42
1	348	A	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  Vessel ""B"" should __________."	maintain course and speed	alter course to the right or slowdown	sound one short blast and maintain course and speed	sound the danger signal and slow to moderate speed	DIAGRAM_42
1	349	D	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  Vessel ""B"" should sound __________."	"one prolonged, one short, one prolonged and one short blasts"	one short blast	two short blasts	None of the above	DIAGRAM_42
1	350	D	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  Vessel ""B"" should sound __________."	"one prolonged, one short, one prolonged and one short blasts"	one prolonged blast	two short blasts	None of the above	DIAGRAM_42
1	351	A	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  This signal means __________."	"""I am altering my course to starboard"""	"""I am operating astern propulsion"""	"""I am altering my course to port"""	None of the above	DIAGRAM_42
1	352	B	INLAND ONLY A commercial vessel engaged in public safety activities may display a(n) __________.	flashing blue light	alternately flashing red and yellow light	flashing yellow light	alternately flashing blue and red light	
1	353	D	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  This signal means __________."	"""I intend to overtake you on your starboard side"""	"""I am operating astern propulsion"""	"""I intend to leave you on my port side"""	None of the above	DIAGRAM_42
1	354	B	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  This signal means __________."	"""I intend to leave you on your starboard side"""	"""I am altering my course to starboard"""	"""I am altering my course to port"""	None of the above	DIAGRAM_42
1	355	A	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  This signal means __________."	"""I am altering my course to starboard"""	"""I intend to leave you on my port side"""	"""I am altering my course to port"""	None of the above	DIAGRAM_42
1	356	C	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  This signal means __________."	"""I am intend to leave you on my port side"""	"""I intend to intend to overtake you on your port side"""	"""I am altering my course to starboard"""	None of the above	DIAGRAM_42
1	357	D	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  This signal means __________."	"""I am intend to leave you on my starboard side"""	"""I intend to intend to overtake you on your port side"""	"""I am altering my course to port"""	None of the above	DIAGRAM_42
1	358	D	"INTERNATIONAL ONLY  Two power-driven vessels are crossing within one half mile of each other as shown.  Vessel ""A"" sounds one short blast of the whistle.  Vessel ""B"" is the __________."	burdened vessel	give-way vessel	overtaking vessel	None of the above	DIAGRAM_42
1	359	D	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  You are on vessel ""B"" and doubt that sufficient action is being taken by vessel ""A"" to avoid collision.  You should __________."	maintain course and speed	alter course to the left and increase speed	sound one short blast and maintain course and speed	None of the above	DIAGRAM_42
1	360	D	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  You are on vessel ""B"" and doubt that sufficient action is being taken by vessel ""A"" to avoid collision.  You should __________."	maintain course and speed	alter course to the right or slow down	sound one short blast and maintain course and speed	sound at least five short and rapid blasts	DIAGRAM_42
1	361	C	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds two short blasts on the whistle.  You are on vessel ""B"" and are in doubt that sufficient action is being taken by vessel ""A"" to avoid collision.  You should __________."	maintain course and speed	alter course to the left and increase speed	sound five or more short and rapid blasts	None of the above	DIAGRAM_42
1	362	D	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds two short blasts on the whistle.  You are on vessel ""B"" and are in doubt that sufficient action is being taken by vessel ""A"" to avoid collision.  You should __________."	maintain course and speed	alter course to the right or slow down	sound one short blast and maintain course and speed	sound five or more short and rapid blasts	DIAGRAM_42
1	363	D	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" is the __________."	burdened vessel	give-way vessel	overtaking vessel	None of the above	DIAGRAM_42
1	364	C	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" is the __________."	burdened vessel	give-way vessel	stand-on vessel	overtaking vessel	DIAGRAM_42
1	365	A	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" is the __________."	stand-on vessel	give-way vessel	overtaking vessel	None of the above	DIAGRAM_42
1	366	B	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""B"" is the __________."	give-way vessel	stand-on vessel	overtaking vessel	burdened vessel	DIAGRAM_42
1	367	A	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""A"" is __________."	give-way vessel	stand-on vessel	overtaking vessel	None of the above	DIAGRAM_42
1	368	B	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""A"" is the __________."	stand-on vessel	give-way vessel	overtaking vessel	None of the above	DIAGRAM_42
1	369	C	"BOTH INTERNATIONAL & INLAND  Two power-driven vessels are crossing as shown.  Vessel ""A"" sounds one short blast on the whistle.  Vessel ""A"" is the __________."	stand-on vessel	overtaking vessel	give-way vessel	None of the above	DIAGRAM_42
1	370	D	"INLAND ONLY If a towing vessel and her tow are severely restricted in their ability to deviate from their course, lights in addition to the towing identification lights must be shown.  These additional lights shall be shown if the tow is __________."	pushed ahead	towed alongside	towed astern	All of the above	
1	371	C	"INTERNATIONAL ONLY  If a towing vessel and her tow  are severely restricted in their ability to deviate from their course, the towing vessel shall show lights in addition to her towing identification lights.  These additional lights shall be shown if the tow is __________."	pushed ahead	towed alongside	towed astern	All of the above	
1	372	D	"INLAND ONLY  You are on vessel ""A"" as shown and hear vessel ""B"" sound a signal indicating his intentions to overtake you.  You feel it is not safe for vessel ""B"" to overtake you at the present time.  You should __________."	sound two short blasts	sound one prolonged followed by three short blasts	"not answer the whistle signal from vessel ""B"""	None of the above	DIAGRAM_32
1	374	C	"INLAND ONLY  Vessels ""A"" and ""B"" are meeting on a river as shown and will pass 1/4 mile apart.  Which statement is TRUE?"	Whistle signals must be exchanged in all situations when passing within one half mile.	The vessels should exchange two blast whistle signals and pass port to port.	If a passing agreement is reached by radiotelephone whistle signals are optional.	The vessels should pass port to port and must sound whistle signals only if either vessel changes course.	DIAGRAM_29
1	375	C	"BOTH INTERNATIONAL & INLAND  The tow shown is made up of inconspicuous, partly submerged vessels and is 150 meters in length.  The towed vessels are less than 25 meters in breadth and less than 100 meters in length.  Which lights would be displayed from the towed vessels?"	Sidelights and stern light on each vessel towed	One all round white light at the after end of each vessel towed	One all round white light at or near each end of each vessel towed	One all round white light at each end and one all round white light at the extremities of its breadth of each vessel towed	DIAGRAM_24
1	376	A	BOTH INTERNATIONAL & INLAND Which vessel must show forward and after masthead lights when making way?	A  75-meter vessel restricted in her ability to maneuver	A 100-meter sailing vessel	A 150-meter vessel engaged in fishing	A  45-meter vessel engaged in towing	
1	377	B	BOTH INTERNATIONAL & INLAND  You are on a vessel heading due north and see the lights shown one point on your port bow.  This vessel could be heading __________.	NW	SE	SW	NW	DIAGRAM_51
1	378	B	"INLAND ONLY  Two power-driven vessels are crossing within a half a mile of each other as shown.  Vessel ""A"" sounds one short blast on the whistle.  This signal means __________."	"""I am altering my course to starboard"""	"""I intend to leave you on my port side"""	"""I intend to overtake you on your port side"""	"""I am operating astern propulsion"""	DIAGRAM_42
1	379	A	BOTH INTERNATIONAL & INLAND  A seagoing tug has a tow greater than 200 meters as shown and is severely restricted in her ability to deviate from her course.  Which lights would be displayed from the towing vessel?	"Three white masthead lights, red-white-red all-round lights, sidelights, stern light and a towing light"	"Three white masthead lights, red-white-red all-round lights, sidelights and two towing lights"	"Three white masthead lights, two all-round red lights, sidelights, stern light and a towing light"	None of the above	DIAGRAM_24
1	380	A	INLAND ONLY  While underway you sight the lights shown with the yellow lights flashing. The lights displayed are from a __________.	dredge pipeline	mine clearance vessel	vessel aground	vessel not under command	DIAGRAM_81
1	383	D	"INLAND ONLY  You are meeting ""head on"" a tug towing a barge alongside about a mile away.  In addition to the white masthead lights which other lights do you see on the tug and tow combined?"	One green and one red sidelight on the outside of the unit	One green and one red sidelight and a special flashing light	Only the green and red sidelights marking each vessel	The green and red sidelights marking each vessel and a special flashing light	
1	384	C	"BOTH INTERNATIONAL & INLAND  At night, you see the lights shown.  This would indicate a __________."	vessel restricted in her ability to maneuver	fishing vessel underway	pilot vessel underway	vessel not under command	DIAGRAM_78
1	385	A	"INLAND ONLY  Which statement is TRUE concerning the fog signal of a canal boat 25 meters in length, anchored in a ""special anchorage area"" approved by the Secretary?"	The vessel is not required to sound a fog signal.	The vessel shall ring a bell for 5 seconds every minute.	The vessel shall sound one blast of the whistle every 2 minutes.	The vessel shall sound three blasts on the whistle every 2  minutes.	
1	386	B	"INLAND ONLY  Which statement is TRUE concerning the fog signal of a barge 35 meters in length, anchored in a ""special anchorage area"" approved by the Secretary?"	The vessel shall ring a bell for 5 seconds every minute.	The vessel is not required to sound a fog signal.	The vessel shall sound one blast of the whistle every 2 minutes.	The vessel shall sound three blasts on the whistle every 2  minutes.	
1	388	D	BOTH INTERNATIONAL & INLAND Lighting requirements in inland waters are different from those in international waters for __________.	barges being pushed ahead	vessels being towed alongside	vessels pushing ahead	All of the above	
1	389	C	BOTH INTERNATIONAL & INLAND  You see ONLY the light shown.  This could be a vessel __________.	not under command	engaged in fishing	under oars	towing	DIAGRAM_80
1	390	B	BOTH INTERNATIONAL & INLAND  You see ONLY the light shown.  This could be a vessel __________.	not under command	under oars	engaged in fishing	towing	DIAGRAM_80
1	391	A	BOTH INTERNATIONAL & INLAND  You see ONLY the light shown.  This could be a vessel __________.	under oars	on pilotage duty	engaged in fishing	towing	DIAGRAM_80
1	392	D	BOTH INTERNATIONAL & INLAND  You see ONLY the light shown.  This could be a  __________.	law enforcement vessel	vessel on pilotage duty	vessel engaged in fishing	sailing vessel	DIAGRAM_80
1	393	A	BOTH INTERNATIONAL & INLAND  You see ONLY the light shown.  This could be a  __________.	sailing vessel	vessel on pilotage duty	vessel engaged in fishing	power-driven vessel	DIAGRAM_80
1	394	C	BOTH INTERNATIONAL & INLAND  You see ONLY the light shown.  This could be a  __________.	law enforcement vessel	vessel on pilotage duty	sailing vessel	power-driven vessel	DIAGRAM_80
1	395	B	BOTH INTERNATIONAL & INLAND  You see ONLY the light shown.  This could be a  __________.	law enforcement vessel	sailing vessel	vessel engaged in trawling	power-driven vessel	DIAGRAM_80
1	396	D	BOTH INTERNATIONAL & INLAND  You see ONLY the light shown.  This could be a  __________.	vessel aground	submarine on the surface	vessel engaged in trawling	vessel under oars	DIAGRAM_80
1	397	B	INTERNATIONAL ONLY  Which signal may be sounded ONLY by vessels in restricted visibility?	At least five short and rapid blasts	Four short blasts	"One prolonged, one short, one prolonged, and one short blast, in that order"	Two short blasts	
1	398	D	BOTH INTERNATIONAL & INLAND  The lead vessel shown is a __________.	power-driven vessel towing alongside	vessel engaged in mineclearance	power-driven vessel pushing ahead	power-driven vessel towing astern	DIAGRAM_24
1	399	C	BOTH INTERNATIONAL & INLAND  The lead vessel shown is a __________.	mineclearance vessel	survey vessel	power-driven vessel towing astern	None of the above	DIAGRAM_24
1	401	A	"INLAND ONLY  Two power-driven vessels are meeting in the situation as shown in a narrow channel on the Great Lakes.  Vessel ""A"" is downbound with a following current.  Vessel ""B"" should __________."	take action to permit safe passage	have the right of way	initiate the maneuvering signals	None of the above	DIAGRAM_37
1	402	C	"BOTH INTERNATIONAL & INLAND While underway in fog, you hear a prolonged blast from another vessel.  This signal indicates a __________."	sailboat making way	"power-driven vessel making way, towing"	power-driven vessel making way	vessel being towed	
1	727	C	INLAND ONLY Maneuvering signals shall be sounded on inland waters by __________.	"all vessels when meeting, crossing, or overtaking and in sight of one another"	all vessels meeting or crossing at a distance within half a mile of each other and not in sight of one another	power-driven vessels overtaking and in sight of one another	power-driven vessels crossing at a distance within half a mile of each other and NOT in sight of one another	
1	728	C	INLAND ONLY A vessel engaged in public safety activities may display an alternately flashing red and yellow light.  This special light may be used by a vessel engaged in __________.	river bank protection	conducting submarine operations	firefighting	law enforcement	
1	821	D	INLAND ONLY One and two short blast signals must be sounded on inland waters when __________.	two sailing vessels are in sight of one another and meeting at a distance of one quarter mile	two power-driven vessels are in sight of one another and will cross at a distance of one mile	two power-driven vessels are crossing within half a mile of each other and NOT in sight of each other	Two power-driven vessel are in sight of one another and are meeting at a distance of one half mile	
1	1000	C	BOTH INTERNATIONAL & INLAND  You hear the fog signal of another vessel forward of your beam.  Risk of collision may exist. You MUST __________.	begin a radar plot	stop your engines	"take all way off, if necessary"	All of the above	
